2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:40		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:41		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:41		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:41		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:42		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:43		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
2020-12-21/12:02:44		 wafer_21012020_080913.csv: File loaded successfully!!
